City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Mubende,UG,0.56,31.39,71.28,75,95,3.13,overcast clouds
203,Buriti Dos Lopes,BR,-3.17,-41.87,89.35,65,66,1.83,broken clouds
204,Mitsamiouli,KM,-11.38,43.28,82.69,57,20,12.66,few clouds
205,Vardo,NO,70.37,31.11,37.38,100,100,20.71,light rain
206,Chokurdakh,RU,70.63,147.92,9.59,91,73,8.3,broken clouds
207,New Norfolk,AU,-42.78,147.06,50.72,82,100,2.59,overcast clouds
208,Amahai,ID,-3.33,128.92,78.19,92,100,6.53,moderate rain
209,Agadir,MA,30.42,-9.60,95.45,23,91,9.71,overcast clouds
210,Kudahuvadhoo,MV,2.67,72.89,84.15,77,100,18.79,heavy intensity rain
211,Gao,ML,16.64,1.64,107.19,3,0,5.86,clear sky
212,Meulaboh,ID,4.14,96.13,76.3,93,100,3.31,overcast clouds
213,Severo-Kurilsk,RU,50.68,156.12,39.07,84,99,7.11,overcast clouds
214,Peabiru,BR,-23.91,-52.34,72.16,63,45,9.55,scattered clouds
215,Aklavik,CA,68.22,-135.01,31.1,82,16,11.05,few clouds
216,Noormarkku,FI,61.59,21.87,56.98,58,20,10.36,few clouds
217,Muroto,JP,33.28,134.15,68.79,90,100,14.99,moderate rain
218,Northam,GB,51.03,-4.22,55.26,76,7,17.18,clear sky
219,Vrangel,RU,42.73,133.08,47.32,72,100,4.38,overcast clouds
220,Virginia Beach,US,36.85,-75.98,61.03,78,100,20.71,haze
221,Tupancireta,BR,-29.08,-53.84,60.03,82,67,7.83,broken clouds
222,Namibe,AO,-15.20,12.15,74.03,73,0,14.97,clear sky
223,Bathurst,AU,-33.42,149.58,55.83,94,100,8.84,light rain
224,Haines Junction,CA,60.75,-137.51,35.55,75,100,5.75,overcast clouds
225,Abu Samrah,SY,35.30,37.18,74.57,26,2,19.57,clear sky
226,Awjilah,LY,29.11,21.29,88.41,17,80,11.45,broken clouds
227,Yarmouth,US,41.71,-70.23,51.15,95,100,15.99,mist
228,Billings,US,45.78,-108.50,49.28,55,75,3.44,broken clouds
229,Harper,LR,4.38,-7.72,82.51,78,100,6.08,light rain
230,Mungaoli,IN,24.42,78.10,101.35,14,19,4.94,few clouds
231,Te Anau,NZ,-45.42,167.72,41.76,92,11,0.78,few clouds
232,Campbell River,CA,50.02,-125.24,49.59,93,75,5.75,broken clouds
233,Ocos,GT,14.51,-92.19,87.98,71,100,2.86,overcast clouds
234,Saskylakh,RU,71.92,114.08,22.78,83,100,11.3,overcast clouds
235,Dubrovka,RU,53.69,33.51,58.71,58,96,9.57,overcast clouds
236,Jining,CN,35.41,116.58,58.86,75,85,5.7,overcast clouds
237,Cidreira,BR,-30.18,-50.21,65.21,84,91,16.11,overcast clouds
238,Luganville,VU,-15.53,167.17,78.67,85,100,18.9,overcast clouds
239,Larsnes,NO,62.20,5.58,51.82,85,100,9.62,light rain
240,Lebedinyy,RU,58.52,125.52,20.79,98,100,5.17,overcast clouds
241,Tual,ID,-5.67,132.75,83.23,79,100,6.71,light rain
242,Anloga,GH,5.79,0.90,85.95,71,99,13.29,overcast clouds
243,Margate,GB,51.38,1.39,63.7,67,81,8.01,broken clouds
244,Laguna,US,38.42,-121.42,54.09,70,0,3.0,clear sky
245,Manaus,BR,-3.10,-60.02,88.3,70,40,9.22,scattered clouds
246,Thap Than,TH,15.46,99.89,83.71,82,100,6.13,light rain
247,Bethel,US,41.37,-73.41,69.19,45,100,11.5,overcast clouds
248,Alofi,NU,-19.06,-169.92,75.09,94,84,6.91,broken clouds
249,Russell,US,32.35,-85.20,76.96,46,0,8.05,clear sky
250,Provideniya,RU,64.38,-173.30,33.15,98,99,9.57,overcast clouds
251,Lebanon,US,36.21,-86.29,83.17,73,5,2.95,clear sky
252,Bambous Virieux,MU,-20.34,57.76,77.25,83,20,4.61,few clouds
253,Upernavik,GL,72.79,-56.15,20.8,86,73,4.43,broken clouds
254,Panambi,BR,-28.29,-53.50,61.12,83,89,6.4,overcast clouds
255,Port Elizabeth,ZA,-33.92,25.57,66.09,70,0,19.57,clear sky
256,Okhotsk,RU,59.38,143.30,28.63,95,84,4.41,broken clouds
257,Koundara,GN,12.48,-13.30,109.85,12,82,1.21,broken clouds
258,Rawson,AR,-43.30,-65.10,55.08,61,82,15.3,broken clouds
259,Pula,HR,44.87,13.85,77.56,44,0,8.05,clear sky
260,Cubuk,TR,40.24,33.03,64.76,42,75,13.8,light intensity shower rain
261,Gobabis,NA,-22.45,18.97,78.91,13,47,5.01,scattered clouds
262,Matay,EG,28.42,30.78,87.91,16,99,16.26,overcast clouds
263,San Cristobal,VE,7.77,-72.22,69.98,85,90,4.99,overcast clouds
264,Kitimat,CA,54.05,-128.65,41.38,27,100,1.23,light rain
265,Geraldton,AU,-28.77,114.60,64.81,88,100,5.75,overcast clouds
266,Faanui,PF,-16.48,-151.75,80.64,78,31,18.63,light rain
267,Zhigansk,RU,66.77,123.37,34.77,99,100,10.78,overcast clouds
268,Klaksvik,FO,62.23,-6.59,41.92,87,100,23.64,light rain
269,Bima,ID,-8.47,118.72,76.17,92,100,1.63,overcast clouds
270,Camacha,PT,33.08,-16.33,69.22,68,40,14.97,scattered clouds
271,Bonavista,CA,48.65,-53.11,48.99,59,41,14.61,scattered clouds
272,Chifeng,CN,42.27,118.96,48.31,22,80,4.05,broken clouds
273,Mount Isa,AU,-20.73,139.50,65.97,82,75,9.22,broken clouds
274,Tougue,GN,11.47,-11.60,98.98,13,89,7.34,overcast clouds
275,Cap Malheureux,MU,-19.98,57.61,75.47,81,43,10.02,scattered clouds
276,Peniche,PT,39.36,-9.38,78.08,64,100,14.12,overcast clouds
277,Koprivnica,HR,46.16,16.83,82.29,48,12,6.53,few clouds
278,Nome,US,64.50,-165.41,32.16,93,100,0.0,light snow
279,Tucuman,AR,-26.82,-65.22,69.8,64,100,5.75,overcast clouds
280,Tatawin,TN,32.93,10.45,69.48,43,95,16.67,overcast clouds
281,Saint-Francois,FR,46.42,3.91,87.67,19,0,5.75,clear sky
282,Macamic,CA,48.75,-79.00,69.42,52,79,4.76,broken clouds
283,Heishan,CN,41.69,122.11,54.73,42,91,4.21,overcast clouds
284,Jumla,NP,29.27,82.18,59.2,91,76,2.35,broken clouds
285,Magadan,RU,59.57,150.80,31.53,92,100,3.53,overcast clouds
286,Dingle,PH,11.00,122.67,79.27,82,92,6.58,overcast clouds
287,Tadine,NC,-21.55,167.88,73.26,74,100,18.57,overcast clouds
288,Hualmay,PE,-11.10,-77.61,68.07,75,4,8.16,clear sky
289,Shepsi,RU,44.04,39.15,56.44,57,30,3.02,scattered clouds
290,Nyurba,RU,63.28,118.33,33.91,97,44,4.0,scattered clouds
291,Tuatapere,NZ,-46.13,167.68,45.07,91,6,4.41,clear sky
292,Athabasca,CA,54.72,-113.29,50.41,65,47,7.27,scattered clouds
293,Lagoa,PT,39.05,-27.98,57.78,64,100,13.49,overcast clouds
294,Maniitsoq,GL,65.42,-52.90,32.0,49,100,4.32,overcast clouds
295,Dikson,RU,73.51,80.55,23.97,80,100,17.29,overcast clouds
296,Pangnirtung,CA,66.15,-65.71,26.6,80,20,9.22,few clouds
297,Serdobsk,RU,52.46,44.22,37.47,99,100,4.5,overcast clouds
298,Olafsvik,IS,64.89,-23.71,37.09,72,100,14.16,overcast clouds
