City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
607,Bressanone,IT,80.37,broken clouds,46.72,11.66,Hotel Löwenhof
612,Tazmalt,DZ,77.14,clear sky,36.39,4.4,Hôtel Numédia
613,Kumasi,GH,88.07,overcast clouds,6.69,-1.62,Okumah Hotels - kaase
615,Maceio,BR,80.04,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
618,Noumea,NC,75.0,overcast clouds,-22.28,166.46,Hôtel Le Lagon
619,Cadillac,US,77.09,overcast clouds,44.25,-85.4,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
624,Zaragoza,ES,89.85,clear sky,41.66,-0.88,INNSiDE Zaragoza
628,Antalaha,MG,75.25,light rain,-14.9,50.28,Hotel Vitasoa
632,Petatlan,MX,84.0,clear sky,17.52,-101.27,Hotel California Petatlán
637,Omboue,GA,81.32,overcast clouds,-1.57,9.26,Hotel Olako
638,Morondava,MG,76.48,clear sky,-20.28,44.28,La Case Bambou
649,Pyapon,MM,82.47,broken clouds,16.28,95.68,Aung Naing Thu Motel
650,Mumford,GH,83.84,overcast clouds,5.26,-0.76,Spanish Villa
653,Cotonou,BJ,89.58,few clouds,6.37,2.42,Novotel Cotonou Orisha
654,Vega De Alatorre,MX,83.64,clear sky,20.03,-96.63,Hotel D Luxe
